Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
North East Create Growth Programme,17996,https://www.wearecreative.uk/support/regional-growth-programmes/north-east-cgp/,"Creative, Digital, Film, Games & Media",Creative Industries,,Provider type>Public/hybrid mix,,Creative UK,,,North East,Scaling firm focus,,Access to peer networks|Leadership development/capacity building,Free,Programme,"North of Tyne Combined Authority, Durham County Council, Gateshead Council, Newcastle City Council, North Tyneside Council, Northumberland County Council, South Tyneside Council, Sunderland City Council, Generator, Sunderland Software City, North East Screen, New Writing North, Creative Fuse and North East Local Enterprise Partnership|DCMS",1,2022,,northeast@wearecreative.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/04/North-East-Create-Growth-Programme.png,Support Offer,,Leadership,"The North East Create Growth Programme delivers a bespoke business development and growth package tailored to the specific needs of high-growth potential creative businesses, with the aim of building businesses’ management skills and understanding of different finance routes to support business growth.",,,,,,,M50 2AB,,"53.470912, -2.295287"
Raise,2587,https://www.pwc.co.uk/private-business-private-clients/raise/programme-supporting-high-growth-scale-ups-series-a.html,Technology & Communications,Technology,,Provider type>Private sector,,PWC,,,UK,Scaling firm focus,,Access to corporate collaboration|Financial support/access|Skills training,Delivered for a fee,Service,,,,Thomas Hudson,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/pwc.png,Financier,,Finance,"The objective of Raise is to make the fundraising process for entrepreneurs and investors as efficient as possible, and minimise the high levels of disruption typically associated with a fundraise for the management team. Split into three parts it covers intensive workshops, investor engagement and ongoing negotiation support.",,Embankment Place,,,England,England,WC2N 6RH,United Kingdom,"51.50799,-0.12469"
ScaleUp Berkshire,12444,https://scaleupberkshire.co.uk/,,Professional Services,,Provider type>Public/hybrid mix,,,,1,South East,Scaling firm focus,,Leadership development/capacity building,Free,,,,2018,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/GH-TVB-logo.jpg,,,Leadership,"ScaleUp Berkshire, launched in 2018, is helping scaleup business leaders understand what is available and working to connect them with the right programme of support, drawing on the wide range of scaleup services on offer. It is based on an account management model and targets high-growth businesses that have achieved turnover in excess of £1m, linking them with specialist support delivered through a range of private and public sector experts. ",,,,,,,OX1 4EH,,"51.751684, -1.258832"
Sharing in Growth (SiG),15403,https://www.sig-uk.org/,Engineering / Advanced Engineering,Advanced Manufacturing,1,Provider type>Public/hybrid mix,,Sharing in Growth,,,UK,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building|Skills training,Delivered for a fee,Programme,,,2013,Andy Page,andy.page@sig-uk.org,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/sharing-in-growth-2.jpg,Support Offer,,Access to markets,"
Launched in 2013, Sharing in Growth’s (SiG) aim is to support scaling businesses in the UK’s manufacturing and engineering supply chains to improve their productivity and competitiveness and be better placed to win a share of global markets. Over the last 10 years SiG has collaborated with over 100 companies across a range of industries, initially focused on aerospace it now supports diverse busineses including  defence, offshore renewables, medical (NHS), Modular Methods of Construction (MMC), and nuclear sectors.

Supported by a team of 100 business coaches, scaling firms with turnover between £5m-£100m, are offered long-term, intensive and holistic leadership and management support. Over four years, a typical beneficiary receives around £1m worth of training and development. There is no upfront funding commitment, however businesses are asked to match the value of support in-kind.

The programme is delivered over three phases: first, a whole firm diagnostics assessment; second a “develop” phase of high intensity training over two years; and finally, a “sustain” phase over 2-3 years to ensure that support is embedded. Throughout this period, alongside assistance from their business coach, scaling businesses receive support from a network of 19 specialist partners including the University of Cambridge’s Institute for Manufacturing, Deloitte, Multiverse and the National Physical Laboratory. Launched in 2022, SiG also provides an online learning platform to supplement onsite coaching and increase the speed and impact of business transformation. It covers 10 key areas including operational excellence, lean leadership behaviours, quality, and supply chain management.

The last few years’ complex economic challenges due to Covid-19 and the transition to new trading arrangements with Europe and beyond has made the key programme deliverables of accelerating productivity, diversifying and winning new customers vital. The programme’s independent assessment, published in 2021 by BEIS, showed significant impact and specifically on employment and turnover. Scaling businesses completing the programme, showed 30% more average turnover growth than the control group companies. Additionally, participants reported a positive impact of SiG on leadership attitudes and behaviours and business strategy. This resulted in improvements in wider workforce engagement, confidence and behaviour to implement changes within businesses.
“Since the start of our partnership, the support of Sharing in Growth has helped Rockford to develop our business significantly, transform our culture, create a farsighted strategy and deliver operational performance in line with world-class practices. As a result, we have secured c. £30 million in contracts and grown our workforce by 50%.”
Peter Lion, Managing Director, Rockford",,,,,,,DE24 8BJ,,"52.91494,-1.46562"
Shott Scale Up Accelerator,15327,https://enterprisehub.raeng.org.uk/shott-scale-up,Engineering / Advanced Engineering,Advanced Manufacturing,1,Provider type>Public/hybrid mix,Provider type: Universities/ Business School,Royal Academy of Engineering,,,UK,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building,Free,Programme,,,2013,,shottscaleup@raeng.org.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/11/raenew.png,Support Offer,SECTORAL DEVELOPMENT,Leadership,"The Royal Academy of Engineering celebrates a decade of supporting talented entrepreneurs and decision makers to transform breakthrough engineering innovations into disruptive spinouts, early stage, scaling businesses and scaleups that have a real impact on society. Its Scale Up Accelerator empowers leaders of high-growth engineering and tech businesses by equipping them with the leadership skills and insights needed to scale up successfully.

The programme offers a tailored 12-month package of leadership training, coaching and business mentoring, backed by a £10k grant to fund training of participants’ choosing. Each cohort of 15 scaling leaders is also connected with mentors from the Academy’s network 1,700+ fellows.

Mentors have industry and tech businesses scaling experience, so they can support with technology and business needs. This sits alongside expert-led workshops, speaker events, fireside chats and investor referrals. The range of support offered allows participants to create a bespoke package tailored to their scaling priorities and ambitions.

Upon graduation participants are given lifetime membership of the Academy’s Enterprise Hub, with access to its co-working spaces in London and Belfast and a new hub Glasgow, which opened in 2023. Additionally the Academy has developed a new exclusive alumni programme <span style=""color: #ff9900;""><a style=""color: #ff9900;"" href=""https://enterprisehub.raeng.org.uk/explore"">EXPLORE</a></span> to help previous programme participants to tap into overseas  markets and ecosystems and access investors; it also facilitates peer-to-peer networking events, connections, and ongoing mentoring opportunities for alumni.

Other new developments in the past year include increasing the number of participants per cohort and extending programme duration to 12 months, giving scaling leaders an additional six months to access support. A new Culture+ platform – developed in partnership with The Honeycomb Works – is a dedicated equality, diversity and inclusion (EDI) resource for scaling companies, giving access to training, policy templates, checklists, case studies, and opportunities for self and peer reflection.

Since 2016, 143 scaleup leaders have participated in the programme, more than 3,000 new jobs have been created and company valuations have increased by £1.76bn. On average, participants increased their employment by more than 50 per cent after 12 months of support and received £976m in investment and £133m in grant funding since the programme started.
<blockquote>“The Shott Scaleup accelerator is designed for skilled executives who have identified a knowledge gap that they want to work on both individually and professionally. It’s a structured and supportive environment to learn from peers, coaches, mentors, and the wider RAEng network. It’s a really great opportunity for industry leaders to explore new ways of thinking, working, and strategizing for growth.”</blockquote>
Amber Michelle Hill, Research Grid
<blockquote>“The Shott Scale Accelerator Programme has been transformative for myself as a leader and for my organisation as we grow. It has equipped me with skills, knowledge and networks that will help propel us forward.”</blockquote>
James Willard, MicrofluidX
<blockquote>“I set out to grow as a leader to grow the business and the programme has achieved that. I feel more confident and have been given a range of practical and helpful tools.”</blockquote>
Vicky De Groof, Holiferm",,Carlton House Terrace,,,England,England,SW1Y 5DG,United Kingdom,"51.50569,-0.13300"
Silverstone Technology cluster,13256,https://www.silverstonetechnologycluster.com/,Engineering / Advanced Engineering|Technology & Communications,Advanced Manufacturing,,Provider type>Public/hybrid mix,,Silverstone Technology Cluster,,,East Midlands|South East,Scaling firm focus,,Leadership development/capacity building,Delivered for a fee,Programme,,,2017,,admin@silverstonetechnologycluster.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/silverstonetechnologycluster.png,Ecosystem,SECTORAL DEVELOPMENT,Leadership|Infrastructure,"The Silverstone Technology Cluster (STC) helps Advanced Engineering, Electronics and Software businesses in the wider geographical area surrounding Silverstone. The STC is specifically focused on the areas of Promotion, Support and Thought Leadership. It offers expert support, mentoring, peer learning, events and networking opportunities.",Silverstone Park,,,Silverstone,England,England,NN12 8GX,United Kingdom,"52.07784,-1.02417"
STEP INto Healthcare,2601,https://www.businessgrowthhub.com/step-into-healthcare,Healthcare|Life Sciences & Biotech,Life Sciences,,Provider type>Public/hybrid mix,,Health Innovation Manchester,,,North West,Scaling firm focus,,Access to corporate collaboration|Access to peer networks|Support for R&D and/or innovation|Support to access public/private sector procurement,Free,Programme,,,,,IN@healthinnovationmanchester.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/businessgrowthhub.png,Ecosystem,,Access to markets,"The STEP INto Healthcare programme, in partnership with TRUSTECH and Health Innovation Manchester, will help you improve your pitch to potential investors and customers, and increase your chances of success in the life sciences market.

Designed for businesses in the life sciences sector with aspirations to scale-up, the programme provides access to networks, strategic knowledge and market opportunities, through one-to-one support and a number of workshops with leading industry experts.",,,,,England,England,M13 9NQ,United Kingdom,"53.46223,-2.22848"
Sustainable Scale Up Cluster,12990,https://www.sustainablescaleupcluster.wales/,Food & Drink,Net Zero,,Provider type>Public/hybrid mix,,BIC Innovation,,,Wales,Scaling firm focus,,Leadership development/capacity building|Skills training,Free,Service,,,,,bwyd-food@bic-innovation.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/12/foodand-drink-scale-up-cluster.png,Support Offer,,Leadership,"Helping ambitious Welsh food and drink businesses scale up sustainably, the Sustainable Scale Up Cluster is supporting businesses to tackle the 4 key challenges to successful scale up:</p>
• CAPACITY to scale up
• Access to CAPITAL to scale up
• Access to the right COMPETENCIES and talent to scale up
• Having the CONFIDENCE to scale up and avoiding the overtrading trap",,Court Road,,,Wales,Wales,CF31 1BE,United Kingdom,"51.50654,-3.57631"
The ScaleUp Accelerator,10661,https://thescaleupaccelerator.com/,Technology & Communications,Technology,,Provider type>Private sector,,The ScaleUp Accelerator,,,UK,Scaling firm focus,,Access to peer networks|Leadership development/capacity building,Delivered for a fee,Programme,,,,Clarelisa Camilleri,clarelisa@theacceleratornetwork.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/05/scaleupaccelerator.png,Support Offer,,Leadership,"The ScaleUp Accelerator is a 6-month programme for founders to develop a credible plan and investor proposition to raise Series A through training and mentoring, starting with 6 weekly day-long sprints followed by 1:1 support. The programme dives into key business areas with London’s scaleup experts and investors, plus 1:1 feedback on growth strategy, sales plans, marketing, legals and finance to scale and attract the necessary growth funding. Thereafter, guidance on business plans and financial models is provided, concluding with highly-curated investor presentations. Post-pitching is followed by comprehensive 1:1 support to help you structure and close your VC round.",,Borough High Street,,,England,England,SE1 1NP,United Kingdom,"51.50361,-0.09112"
AMRC Scale-up,,https://www.amrc.co.uk/pages/amrc-scale-up,,Advanced Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S60 5TZ,United Kingdom,"53.3876395,-1.3765916"
Lancashire Advanced Engineering and Manufacturing (AEM) Watchtower Programme,,https://www.aerospace.co.uk/programmes/watchtower-2/,,Advanced Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB9 9BT,United Kingdom,"53.834728,-2.210295"
Made Smarter,,https://www.madesmarter.uk/,,Advanced Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1 5JW,United Kingdom,"53.474951, -2.243761"
